"JURISDICTION","AGE_GROUP","FINES","DETECTION_METHOD_CLEAN","LOCATION_TYPE","PERIOD_LENGTH","Month (Name)","Month (Number)"
"WA","65 and over",4116,"Mobile camera","Unknown",30,"July",7
"WA","65 and over",284,"Police issued","Unknown",30,"July",7
"WA","65 and over",2512,"Fixed camera systems","Unknown",30,"July",7
"WA","65 and over",0,"Other","Unknown",30,"July",7
"WA","Unknown",4,"Fixed camera systems","Unknown",30,"July",7
"WA","Unknown",19,"Mobile camera","Unknown",30,"July",7
"WA","Unknown",5,"Fixed camera systems","Unknown",30,"July",7
"WA","0-16",2,"Fixed camera systems","Unknown",30,"August",8
"WA","0-16",1,"Mobile camera","Unknown",30,"August",8
"WA","0-16",1,"Fixed camera systems","Unknown",30,"August",8
"WA","0-16",0,"Other","Unknown",30,"August",8
"WA","17-25",243,"Fixed camera systems","Unknown",30,"August",8
"WA","17-25",1055,"Fixed camera systems","Unknown",30,"August",8
"WA","17-25",5751,"Mobile camera","Unknown",30,"August",8
"WA","17-25",848,"Police issued","Unknown",30,"August",8
"WA","17-25",963,"Fixed camera systems","Unknown",30,"August",8
"WA","17-25",0,"Other","Unknown",30,"August",8
"WA","26-39",581,"Fixed camera systems","Unknown",30,"August",8
"WA","26-39",2970,"Fixed camera systems","Unknown",30,"August",8
"WA","26-39",13870,"Mobile camera","Unknown",30,"August",8
"WA","26-39",1591,"Police issued","Unknown",30,"August",8
"WA","26-39",3479,"Fixed camera systems","Unknown",30,"August",8
"WA","26-39",0,"Other","Unknown",30,"August",8
"WA","40-64",623,"Fixed camera systems","Unknown",30,"August",8
"WA","40-64",4809,"Fixed camera systems","Unknown",30,"August",8
"WA","40-64",19806,"Mobile camera","Unknown",30,"August",8
"WA","40-64",1909,"Police issued","Unknown",30,"August",8
"WA","40-64",7557,"Fixed camera systems","Unknown",30,"August",8
"WA","40-64",0,"Other","Unknown",30,"August",8
"WA","65 and over",97,"Fixed camera systems","Unknown",30,"August",8
"WA","65 and over",1191,"Fixed camera systems","Unknown",30,"August",8
"WA","65 and over",4523,"Mobile camera","Unknown",30,"August",8
"WA","65 and over",360,"Police issued","Unknown",30,"August",8
"WA","65 and over",2251,"Fixed camera systems","Unknown",30,"August",8
"WA","65 and over",0,"Other","Unknown",30,"August",8
"WA","Unknown",1,"Fixed camera systems","Unknown",30,"August",8
"WA","Unknown",4,"Fixed camera systems","Unknown",30,"August",8
"WA","Unknown",12,"Mobile camera","Unknown",30,"August",8
"WA","Unknown",2,"Police issued","Unknown",30,"August",8
"WA","Unknown",5,"Fixed camera systems","Unknown",30,"August",8
"WA","0-16",2,"Mobile camera","Unknown",29,"September",9
"WA","0-16",1,"Fixed camera systems","Unknown",29,"September",9
"WA","0-16",0,"Other","Unknown",29,"September",9
"WA","17-25",159,"Fixed camera systems","Unknown",29,"September",9
"WA","17-25",802,"Fixed camera systems","Unknown",29,"September",9
"WA","17-25",6221,"Mobile camera","Unknown",29,"September",9
"WA","17-25",765,"Police issued","Unknown",29,"September",9
"WA","17-25",1069,"Fixed camera systems","Unknown",29,"September",9
"WA","17-25",0,"Other","Unknown",29,"September",9
"WA","26-39",385,"Fixed camera systems","Unknown",29,"September",9
"WA","26-39",2514,"Fixed camera systems","Unknown",29,"September",9
"WA","26-39",14314,"Mobile camera","Unknown",29,"September",9
"WA","26-39",1234,"Police issued","Unknown",29,"September",9
"WA","26-39",3557,"Fixed camera systems","Unknown",29,"September",9
"WA","26-39",0,"Other","Unknown",29,"September",9
"WA","40-64",418,"Fixed camera systems","Unknown",29,"September",9
"WA","40-64",3824,"Fixed camera systems","Unknown",29,"September",9
"WA","40-64",19385,"Mobile camera","Unknown",29,"September",9
"WA","40-64",1541,"Police issued","Unknown",29,"September",9
"WA","40-64",7520,"Fixed camera systems","Unknown",29,"September",9
"WA","40-64",0,"Other","Unknown",29,"September",9
"WA","65 and over",90,"Fixed camera systems","Unknown",29,"September",9
"WA","65 and over",940,"Fixed camera systems","Unknown",29,"September",9
"WA","65 and over",4267,"Mobile camera","Unknown",29,"September",9
"WA","65 and over",295,"Police issued","Unknown",29,"September",9
"WA","65 and over",2202,"Fixed camera systems","Unknown",29,"September",9
"WA","65 and over",0,"Other","Unknown",29,"September",9
"WA","Unknown",1,"Fixed camera systems","Unknown",29,"September",9
"WA","Unknown",2,"Fixed camera systems","Unknown",29,"September",9
"WA","Unknown",11,"Mobile camera","Unknown",29,"September",9
"WA","Unknown",4,"Fixed camera systems","Unknown",29,"September",9
"WA","0-16",1,"Fixed camera systems","Unknown",30,"October",10
"WA","0-16",5,"Mobile camera","Unknown",30,"October",10
"WA","0-16",2,"Police issued","Unknown",30,"October",10
"WA","0-16",1,"Fixed camera systems","Unknown",30,"October",10
"WA","0-16",0,"Other","Unknown",30,"October",10
"WA","17-25",213,"Fixed camera systems","Unknown",30,"October",10
"WA","17-25",947,"Fixed camera systems","Unknown",30,"October",10
"WA","17-25",6665,"Mobile camera","Unknown",30,"October",10
"WA","17-25",799,"Police issued","Unknown",30,"October",10
"WA","17-25",1091,"Fixed camera systems","Unknown",30,"October",10
"WA","17-25",0,"Other","Unknown",30,"October",10
"WA","26-39",423,"Fixed camera systems","Unknown",30,"October",10
"WA","26-39",2876,"Fixed camera systems","Unknown",30,"October",10
"WA","26-39",15185,"Mobile camera","Unknown",30,"October",10
"WA","26-39",1423,"Police issued","Unknown",30,"October",10
"WA","26-39",3511,"Fixed camera systems","Unknown",30,"October",10
"WA","26-39",0,"Other","Unknown",30,"October",10
"WA","40-64",544,"Fixed camera systems","Unknown",30,"October",10
"WA","40-64",4227,"Fixed camera systems","Unknown",30,"October",10
"WA","40-64",20374,"Mobile camera","Unknown",30,"October",10
"WA","40-64",1685,"Police issued","Unknown",30,"October",10
"WA","40-64",7845,"Fixed camera systems","Unknown",30,"October",10
"WA","40-64",0,"Other","Unknown",30,"October",10
"WA","65 and over",113,"Fixed camera systems","Unknown",30,"October",10
"WA","65 and over",1084,"Fixed camera systems","Unknown",30,"October",10
"WA","65 and over",4457,"Mobile camera","Unknown",30,"October",10
"WA","65 and over",340,"Police issued","Unknown",30,"October",10
"WA","65 and over",2378,"Fixed camera systems","Unknown",30,"October",10
"WA","65 and over",0,"Other","Unknown",30,"October",10
"WA","Unknown",5,"Fixed camera systems","Unknown",30,"October",10
"WA","Unknown",19,"Mobile camera","Unknown",30,"October",10
"WA","Unknown",4,"Fixed camera systems","Unknown",30,"October",10
"WA","0-16",1,"Fixed camera systems","Unknown",29,"November",11
"WA","0-16",1,"Mobile camera","Unknown",29,"November",11
"WA","0-16",1,"Police issued","Unknown",29,"November",11
"WA","0-16",1,"Fixed camera systems","Unknown",29,"November",11
"WA","17-25",340,"Fixed camera systems","Unknown",29,"November",11
"WA","17-25",940,"Fixed camera systems","Unknown",29,"November",11
"WA","17-25",4980,"Mobile camera","Unknown",29,"November",11
"WA","17-25",818,"Police issued","Unknown",29,"November",11
"WA","17-25",1030,"Fixed camera systems","Unknown",29,"November",11
"WA","17-25",0,"Other","Unknown",29,"November",11
"WA","26-39",584,"Fixed camera systems","Unknown",29,"November",11
"WA","26-39",2682,"Fixed camera systems","Unknown",29,"November",11
"WA","26-39",11613,"Mobile camera","Unknown",29,"November",11
"WA","26-39",1484,"Police issued","Unknown",29,"November",11
"WA","26-39",3579,"Fixed camera systems","Unknown",29,"November",11
"WA","26-39",0,"Other","Unknown",29,"November",11
"WA","40-64",740,"Fixed camera systems","Unknown",29,"November",11
"WA","40-64",3846,"Fixed camera systems","Unknown",29,"November",11
"WA","40-64",16146,"Mobile camera","Unknown",29,"November",11
"WA","40-64",1652,"Police issued","Unknown",29,"November",11
"WA","40-64",7383,"Fixed camera systems","Unknown",29,"November",11
"WA","40-64",0,"Other","Unknown",29,"November",11
"WA","65 and over",97,"Fixed camera systems","Unknown",29,"November",11
"WA","65 and over",942,"Fixed camera systems","Unknown",29,"November",11
"WA","65 and over",3567,"Mobile camera","Unknown",29,"November",11
"WA","65 and over",343,"Police issued","Unknown",29,"November",11
"WA","65 and over",2304,"Fixed camera systems","Unknown",29,"November",11
"WA","65 and over",0,"Other","Unknown",29,"November",11
"WA","Unknown",2,"Fixed camera systems","Unknown",29,"November",11
"WA","Unknown",7,"Fixed camera systems","Unknown",29,"November",11
"WA","Unknown",13,"Mobile camera","Unknown",29,"November",11
"WA","Unknown",7,"Fixed camera systems","Unknown",29,"November",11
"WA","0-16",4,"Mobile camera","Unknown",30,"December",12
"WA","17-25",264,"Fixed camera systems","Unknown",30,"December",12
"WA","17-25",1065,"Fixed camera systems","Unknown",30,"December",12
"WA","17-25",4822,"Mobile camera","Unknown",30,"December",12
"WA","17-25",562,"Police issued","Unknown",30,"December",12
"WA","17-25",1071,"Fixed camera systems","Unknown",30,"December",12
"WA","17-25",0,"Other","Unknown",30,"December",12
"WA","26-39",505,"Fixed camera systems","Unknown",30,"December",12
"WA","26-39",3353,"Fixed camera systems","Unknown",30,"December",12
"WA","26-39",12015,"Mobile camera","Unknown",30,"December",12
"WA","26-39",1124,"Police issued","Unknown",30,"December",12
"WA","26-39",3840,"Fixed camera systems","Unknown",30,"December",12
"WA","26-39",0,"Other","Unknown",30,"December",12
"WA","40-64",592,"Fixed camera systems","Unknown",30,"December",12
"WA","40-64",5074,"Fixed camera systems","Unknown",30,"December",12
"WA","40-64",16724,"Mobile camera","Unknown",30,"December",12
"WA","40-64",1260,"Police issued","Unknown",30,"December",12
"WA","40-64",8220,"Fixed camera systems","Unknown",30,"December",12
"WA","40-64",0,"Other","Unknown",30,"December",12
"WA","65 and over",104,"Fixed camera systems","Unknown",30,"December",12
"WA","65 and over",1347,"Fixed camera systems","Unknown",30,"December",12
"WA","65 and over",4121,"Mobile camera","Unknown",30,"December",12
"WA","65 and over",235,"Police issued","Unknown",30,"December",12
"WA","65 and over",2610,"Fixed camera systems","Unknown",30,"December",12
"WA","65 and over",0,"Other","Unknown",30,"December",12
"WA","Unknown",6,"Fixed camera systems","Unknown",30,"December",12
"WA","Unknown",9,"Mobile camera","Unknown",30,"December",12
"WA","Unknown",2,"Police issued","Unknown",30,"December",12
"WA","Unknown",6,"Fixed camera systems","Unknown",30,"December",12
